,loss,accuracy,mean_io_u,precision,recall,AUC,f1_score,specificity,sensitivity,iou,dice_coef,dice_coef_loss,val_loss,val_accuracy,val_mean_io_u,val_precision,val_recall,val_AUC,val_f1_score,val_specificity,val_sensitivity,val_iou,val_dice_coef,val_dice_coef_loss,lr
0,0.114881434,0.982131064,0.375526875,0.992868662,0.961686373,0.997997761,0.973868847,0.997108519,0.964466035,0.86818558,0.338196367,0.661803424,0.493751526,0.938691199,0.375546217,0.948188782,0.931822002,0.978460908,0.94015342,0.982480466,0.93465507,0.884759247,0.300939113,0.699060738,0.001
1,0.032290403,0.990087748,0.375526935,0.994019449,0.984813213,0.999518275,0.989851713,0.997378588,0.987395108,0.966779232,0.452255309,0.54774487,0.470086604,0.938541949,0.37557441,0.946147084,0.933309853,0.979170084,0.939913869,0.981711268,0.936058521,0.884765446,0.34223634,0.657763481,0.001
2,0.02642189,0.991411567,0.375526965,0.994693995,0.986835718,0.999592483,0.991078615,0.997579753,0.989296496,0.973235846,0.513501525,0.486498445,0.187654302,0.951081216,0.375546277,0.959946334,0.945568621,0.99153012,0.952759922,0.986217618,0.9481498,0.908796012,0.381584823,0.618415177,0.001
3,0.023656702,0.992341936,0.375527054,0.99519515,0.988121152,0.999625623,0.991923273,0.997740865,0.990534246,0.976275921,0.556362569,0.44363755,0.86680907,0.917947292,0.375566393,0.924667239,0.912163198,0.967128396,0.918818891,0.974705994,0.915071011,0.854931891,0.354568034,0.645431817,0.001
4,0.021607431,0.992920578,0.375526965,0.995583415,0.988904655,0.999679089,0.992482603,0.997867048,0.99129045,0.97824049,0.579846978,0.420153022,0.366540015,0.943051755,0.375546247,0.947838128,0.939405143,0.981192887,0.943829656,0.982114017,0.941913724,0.898171961,0.410966367,0.589033723,0.001
5,0.020135766,0.99338913,0.375526965,0.995841265,0.989548087,0.999702275,0.992906928,0.99794668,0.991909027,0.979749024,0.606085718,0.393914431,0.184503391,0.957341492,0.375546247,0.963279009,0.953234851,0.991297126,0.958391309,0.987255633,0.95581162,0.921266019,0.409032315,0.590967596,0.001
6,0.019193999,0.99367851,0.375526905,0.996002734,0.989939153,0.999712765,0.993175685,0.997999966,0.992292762,0.980767906,0.619008362,0.380991668,0.281154305,0.941835463,0.375546485,0.948662519,0.937117457,0.986253142,0.943004429,0.982458711,0.939686,0.895549893,0.458466053,0.541533947,0.001
7,0.018579394,0.993903518,0.375530869,0.996155739,0.990224898,0.99971211,0.993388891,0.998050392,0.992572248,0.981437683,0.628671885,0.371328354,0.162947014,0.960057437,0.375546247,0.966258645,0.95568347,0.993018389,0.961101413,0.988242388,0.958256364,0.92532289,0.447091788,0.552908301,0.001
8,0.017556213,0.99421829,0.375536203,0.996401548,0.990604103,0.999734104,0.993688345,0.998127222,0.992939353,0.982380092,0.643040717,0.356959701,0.164149061,0.961427271,0.375546306,0.966322482,0.957256973,0.992200196,0.962018788,0.988252819,0.959858894,0.927899897,0.456352472,0.543647349,0.001
9,0.016855467,0.994440794,0.375553519,0.996548891,0.990845799,0.999750316,0.993888676,0.998177409,0.993186176,0.982977629,0.651890218,0.348109663,0.115500748,0.969135046,0.375546247,0.973092914,0.965090275,0.99551338,0.969363511,0.990464211,0.967656851,0.939393759,0.461623847,0.538375974,0.001
